phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_two_scale,2f,scale0_scale3_previous,partial,scale0_scale3_previous,8,0.7540,"full_sweep_runner, 39.5 min"
phase1_three_scale,1f,only_scale1_previous,partial,only_scale1_previous,4,0.5515,"full_sweep_runner, 16.2 min"
phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,2,0.2502,"full_sweep_runner, 27.6 min"
phase1_three_scale,10f,only_scale2_previous,partial,only_scale2_previous,1,0.0283,"full_sweep_runner, 32.9 min"
phase1_three_scale,1f,only_scale2_previous,partial,only_scale2_previous,4,0.4973,"full_sweep_runner, 16.3 min"
phase1_two_scale,2f,scale1_scale2_previous,partial,scale1_scale2_previous,8,0.7705,"full_sweep_runner, 39.7 min"
phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,2,0.2064,"full_sweep_runner, 27.5 min"
phase1_three_scale,1f,only_scale3_previous,partial,only_low_resolution_previous,4,0.4676,"full_sweep_runner, 16.4 min"
phase1_three_scale,10f,only_scale3_previous,partial,only_low_resolution_previous,1,0.0610,"full_sweep_runner, 33.1 min"
phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,2,0.1905,"full_sweep_runner, 27.5 min"
phase0_global,1f,previous,previous,,8,0.7778,"full_sweep_runner, 27.6 min"
phase1_two_scale,2f,scale1_scale3_previous,partial,scale1_scale3_previous,8,0.7732,"full_sweep_runner, 39.5 min"
phase0_global,1f,zero,zero,,8,0.7325,"full_sweep_runner, 27.3 min"
phase0_global,10f,previous,previous,,2,0.5795,"full_sweep_runner, 47.4 min"
phase1_leave_one_scale,5f,drop_scale2_previous,partial,drop_scale2_previous,4,0.6659,"full_sweep_runner, 43.8 min"
phase1_two_scale,2f,scale2_scale3_previous,partial,coarse_previous_fine_zero,8,0.7595,"full_sweep_runner, 40.0 min"
phase0_global,1f,stale_k2,stale,,8,0.7778,"full_sweep_runner, 27.4 min"
